IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,8.02
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,10,8.01
8.219.161.129,443,443,true,SIN,Asia Pacific,Singapore,104,8.01
8.222.167.147,2053,2053,true,SIN,Asia Pacific,Singapore,73,8.01
8.210.100.23,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,8.01
47.236.149.107,2095,2095,false,SIN,Asia Pacific,Singapore,39,8.00
8.222.174.108,8443,8443,true,SIN,Asia Pacific,Singapore,93,7.99
8.218.155.238,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,7.99
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,107,7.99
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,21,7.99
47.236.118.216,8080,8080,false,SIN,Asia Pacific,Singapore,21,7.99
8.219.248.47,2052,2052,false,SIN,Asia Pacific,Singapore,36,7.99
8.222.179.231,2087,2087,true,SIN,Asia Pacific,Singapore,79,7.98
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,108,7.98
47.236.172.71,2053,2053,true,SIN,Asia Pacific,Singapore,114,7.98
8.219.202.130,8880,8880,false,SIN,Asia Pacific,Singapore,24,7.97
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,58,7.97
47.76.204.76,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,7.96
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,7.96
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,42,7.96
47.237.14.220,8080,8080,false,SIN,Asia Pacific,Singapore,8,7.95
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,28,7.95
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,35,7.95
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,26,7.95
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,37,7.95
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,20,7.95
8.222.174.108,2082,2082,false,SIN,Asia Pacific,Singapore,17,7.95
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,97,7.95
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,119,7.94
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,7.94
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,6,7.94
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,52,7.94
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,79,7.94
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,7.93
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,18,7.93
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,117,7.92
47.243.234.9,8443,8443,true,HKG,Asia Pacific,Hong Kong,126,7.92
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,83,7.92
8.210.175.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,7.91
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,7.91
8.218.222.36,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,7.91
